Coin Name,Ticker,X-Spot-Id,X-Post-Id,Conversation Id
Pepe,PEPE-USD,sp_Rba9aFpG,finmb$PEPE$CCC,sp_Rba9aFpG_finmb$PEPE$CCC
Pax Dollar,USDP-USD,sp_Rba9aFpG,finmb$USDP$CCC,sp_Rba9aFpG_finmb$USDP$CCC
ORDI,ORDI-USD,sp_Rba9aFpG,finmb$ORDI$CCC,sp_Rba9aFpG_finmb$ORDI$CCC
Staked Frax Ether,SFRXETH-USD,sp_Rba9aFpG,finmb$SFRXETH$CCC,sp_Rba9aFpG_finmb$SFRXETH$CCC
cWBTC,CWBTC-USD,sp_Rba9aFpG,finmb$CWBTC$CCC,sp_Rba9aFpG_finmb$CWBTC$CCC
BitTorrent,BTT-USD,sp_Rba9aFpG,finmb$BTT$CCC,sp_Rba9aFpG_finmb$BTT$CCC
Terra Luna Classic,LUNC-USD,sp_Rba9aFpG,finmb$LUNC$CCC,sp_Rba9aFpG_finmb$LUNC$CCC
Coinbase Wrapped Staked ETH,CBETH-USD,sp_Rba9aFpG,finmb$CBETH$CCC,sp_Rba9aFpG_finmb$CBETH$CCC
NEXO,NEXO-USD,sp_Rba9aFpG,finmb$NEXO$CCC,sp_Rba9aFpG_finmb$NEXO$CCC
Kujira,KUJI-USD,sp_Rba9aFpG,finmb$KUJI$CCC,sp_Rba9aFpG_finmb$KUJI$CCC
Zcash,ZEC-USD,sp_Rba9aFpG,finmb$ZEC$CCC,sp_Rba9aFpG_finmb$ZEC$CCC
Osmosis,OSMO-USD,sp_Rba9aFpG,finmb$OSMO$CCC,sp_Rba9aFpG_finmb$OSMO$CCC
WOO Network,WOO-USD,sp_Rba9aFpG,finmb$WOO$CCC,sp_Rba9aFpG_finmb$WOO$CCC
STEPN,GMT-USD,sp_Rba9aFpG,finmb$GMT$CCC,sp_Rba9aFpG_finmb$GMT$CCC
Beam,BEAM-USD,sp_Rba9aFpG,finmb$BEAM$CCC,sp_Rba9aFpG_finmb$BEAM$CCC
Casper Network,CSPR-USD,sp_Rba9aFpG,finmb$CSPR$CCC,sp_Rba9aFpG_finmb$CSPR$CCC
Akash Network,AKT-USD,sp_Rba9aFpG,finmb$AKT$CCC,sp_Rba9aFpG_finmb$AKT$CCC
Terra,LUNA-USD,sp_Rba9aFpG,finmb$lUNA$CCC,sp_Rba9aFpG_finmb$lUNA$CCC
1inch,1INCH-USD,sp_Rba9aFpG,finmb$1INCH$CCC,sp_Rba9aFpG_finmb$1INCH$CCC
Ethereum Name Service,ENS-USD,sp_Rba9aFpG,finmb$ENS$CCC,sp_Rba9aFpG_finmb$ENS$CCC
aelf,ELF-USD,sp_Rba9aFpG,finmb$ELF$CCC,sp_Rba9aFpG_finmb$ELF$CCC
IoTeX,IOTX-USD,sp_Rba9aFpG,finmb$IOTX$CCC,sp_Rba9aFpG_finmb$IOTX$CCC
Kusama,KSM-USD,sp_Rba9aFpG,finmb$KSM$CCC,sp_Rba9aFpG_finmb$KSM$CCC
Liquity USD,LUSD-USD,sp_Rba9aFpG,finmb$LUSD$CCC,sp_Rba9aFpG_finmb$LUSD$CCC
Aragon,ANT-USD,sp_Rba9aFpG,finmb$ANT$CCC,sp_Rba9aFpG_finmb$ANT$CCC
Audius,AUDIO-USD,sp_Rba9aFpG,finmb$AUDIO$CCC,sp_Rba9aFpG_finmb$AUDIO$CCC
Sushi,SUSHI-USD,sp_Rba9aFpG,finmb$SUSHI$CCC,sp_Rba9aFpG_finmb$SUSHI$CCC
WAX,WAXP-USD,sp_Rba9aFpG,finmb$WAXP$CCC,sp_Rba9aFpG_finmb$WAXP$CCC
SwissBorg,BORG-USD,sp_Rba9aFpG,finmb$BORG$CCC,sp_Rba9aFpG_finmb$BORG$CCC
Waves,WAVES-USD,sp_Rba9aFpG,finmb$WAVES$CCC,sp_Rba9aFpG_finmb$WAVES$CCC